model,label,macro_states,L_arrow,all_horizon_reversible,witness_word,witness_forward_probability,witness_reverse_probability,reachable_dimension
biased_four_cycle,0|1|2|3,4,1,false,01,1/8,1/16,4
biased_four_cycle,0|1|23,3,1,false,01,1/8,1/16,3
biased_four_cycle,0|12|3,3,1,false,01,1/8,1/16,3
biased_four_cycle,0|13|2,3,infinity,true,,,,4
biased_four_cycle,01|2|3,3,1,false,01,1/8,1/16,4
biased_four_cycle,02|1|3,3,infinity,true,,,,4
biased_four_cycle,03|1|2,3,1,false,01,1/8,1/16,4
biased_four_cycle,0|123,2,infinity,true,,,,4
biased_four_cycle,01|23,2,infinity,true,,,,4
biased_four_cycle,012|3,2,infinity,true,,,,4
biased_four_cycle,013|2,2,infinity,true,,,,4
biased_four_cycle,02|13,2,infinity,true,,,,2
biased_four_cycle,023|1,2,infinity,true,,,,4
biased_four_cycle,03|12,2,infinity,true,,,,4
biased_four_cycle,0123,1,infinity,true,,,,1
higher_order_hidden_arrow_four_state,0|1|2|3,4,1,false,02,7/64,1/16,4
higher_order_hidden_arrow_four_state,0|1|23,3,2,false,021,1/32,23/1024,5
higher_order_hidden_arrow_four_state,0|12|3,3,1,false,01,11/64,1/8,3
higher_order_hidden_arrow_four_state,0|13|2,3,1,false,01,1/8,11/64,3
higher_order_hidden_arrow_four_state,01|2|3,3,1,false,01,11/64,1/8,4
higher_order_hidden_arrow_four_state,02|1|3,3,infinity,true,,,,3
higher_order_hidden_arrow_four_state,03|1|2,3,2,false,001,43/1024,17/512,5
higher_order_hidden_arrow_four_state,0|123,2,infinity,true,,,,3
higher_order_hidden_arrow_four_state,01|23,2,3,false,0010,55/1024,467/8192,5
higher_order_hidden_arrow_four_state,012|3,2,infinity,true,,,,3
higher_order_hidden_arrow_four_state,013|2,2,infinity,true,,,,3
higher_order_hidden_arrow_four_state,02|13,2,infinity,true,,,,2
higher_order_hidden_arrow_four_state,023|1,2,infinity,true,,,,3
higher_order_hidden_arrow_four_state,03|12,2,3,false,0010,751/16384,389/8192,5
higher_order_hidden_arrow_four_state,0123,1,infinity,true,,,,1
reversible_four_cycle,0|1|2|3,4,infinity,true,,,,4
reversible_four_cycle,0|1|23,3,infinity,true,,,,4
reversible_four_cycle,0|12|3,3,infinity,true,,,,4
reversible_four_cycle,0|13|2,3,infinity,true,,,,3
reversible_four_cycle,01|2|3,3,infinity,true,,,,4
reversible_four_cycle,02|1|3,3,infinity,true,,,,3
reversible_four_cycle,03|1|2,3,infinity,true,,,,4
reversible_four_cycle,0|123,2,infinity,true,,,,3
reversible_four_cycle,01|23,2,infinity,true,,,,2
reversible_four_cycle,012|3,2,infinity,true,,,,3
reversible_four_cycle,013|2,2,infinity,true,,,,3
reversible_four_cycle,02|13,2,infinity,true,,,,2
reversible_four_cycle,023|1,2,infinity,true,,,,3
reversible_four_cycle,03|12,2,infinity,true,,,,2
reversible_four_cycle,0123,1,infinity,true,,,,1
